quarter,output_gap,core_inflation,policy_rate,usdcad,statcan_gdp_growth,statcan_unemployment
2017Q1,-0.00911565922,1.593292881,0.0075,0.756774,3.929965928,1.783333333
2017Q2,-0.00468049447,1.419279242,0.0075,0.743888,4.457546892,1.733333333
2017Q3,0.00024870414,1.534207275,0.0125,0.8,1.637066626,1.658333333
2017Q4,0.00154294154,1.6773728,0.0125,0.79,1.694744865,1.641666667
2018Q1,-0.00183664483,1.88360249,0.015,0.793482,1.417367417,1.575
2018Q2,-0.00116704,2.082006158,0.015,0.7795,2.837735111,1.575
2018Q3,-0.001745,2.094593705,0.0175,0.765003,38.12401424,1.575
2018Q4,-0.00520700928,2.040129979,0.02,0.761278,1.361159594,1.508333333
2019Q1,-0.00765407806,1.847790845,0.02,0.752888,0.2829369915,1.541666667
2019Q2,-0.00842431931,1.970939554,0.02,0.745381,3.933040953,1.5
2019Q3,-0.00528851426,2.016471788,0.02,0.757773,1.493315182,1.516666667
2019Q4,-0.00451416312,2.130360181,0.02,0.757016,1.305341317,1.525
